,price_aprox_usd,surface_total_in_m2,rooms,price_usd_per_m2,barrio
18,340000.0,130.0,4.0,2615.384615384615,PALERMO
19,222000.0,52.0,1.0,4269.2307692307695,PALERMO
24,270000.0,67.0,3.0,4029.850746268657,PALERMO
29,250000.0,67.0,2.0,3731.343283582089,PALERMO
30,490000.0,100.0,4.0,4900.0,PALERMO
31,119124.77,40.0,1.0,2978.11925,PALERMO
33,520000.0,97.0,3.0,5360.824742268042,PALERMO
35,198000.0,64.0,2.0,3093.75,PALERMO
36,170000.0,40.0,1.0,4250.0,PALERMO
37,159800.0,47.0,1.0,3400.0,PALERMO
38,144400.0,38.0,1.0,3800.0,PALERMO
39,169000.0,52.0,1.0,3250.0,PALERMO
45,470000.0,103.0,4.0,4563.106796116505,PALERMO
46,440000.0,80.0,3.0,5500.0,PALERMO
47,550000.0,98.0,4.0,5612.2448979591845,PALERMO
51,465000.0,82.0,3.0,5670.7317073170725,PALERMO
52,150000.0,44.0,1.0,3409.090909090909,PALERMO
54,368000.0,87.0,3.0,4229.885057471264,PALERMO
56,154000.0,58.0,2.0,2655.172413793104,PALERMO
57,154000.0,58.0,3.0,2655.172413793104,PALERMO
60,95085.0,43.0,1.0,2211.279069767442,PALERMO
61,140000.0,53.0,2.0,2641.509433962264,PALERMO
62,500000.0,110.0,3.0,4545.454545454545,PALERMO
63,190000.0,66.0,2.0,2878.787878787879,PALERMO
64,105000.0,40.0,1.0,2625.0,PALERMO
66,310000.0,85.0,4.0,3647.058823529412,PALERMO
69,379000.0,115.0,3.0,3295.652173913043,PALERMO
70,270000.0,106.0,4.0,2547.169811320755,PALERMO
71,260000.0,126.0,5.0,2063.492063492064,PALERMO
72,260000.0,126.0,4.0,2063.492063492064,PALERMO
77,250000.0,88.0,2.0,2840.909090909091,PALERMO
79,339000.0,54.0,2.0,6277.777777777777,PALERMO
82,490000.0,135.0,5.0,3629.6296296296296,PALERMO
84,175000.0,62.0,2.0,2822.5806451612902,PALERMO
87,390000.0,106.0,2.0,3679.245283018868,PALERMO
89,207000.0,74.0,2.0,2797.2972972972966,PALERMO
91,165000.0,38.0,1.0,4342.105263157895,PALERMO
96,530000.0,117.0,4.0,4529.914529914529,PALERMO
103,126000.0,37.0,1.0,3405.4054054054054,PALERMO
104,443000.0,145.0,4.0,3055.172413793104,PALERMO
105,525000.0,164.0,4.0,3201.2195121951213,PALERMO
107,539000.0,181.0,4.0,2977.900552486188,PALERMO
109,141713.14,43.0,2.0,3295.654418604652,PALERMO
116,165000.0,68.0,3.0,2426.4705882352937,PALERMO
118,370000.0,130.0,5.0,2846.1538461538457,PALERMO
121,550000.0,101.0,3.0,5445.544554455446,PALERMO
126,380000.0,121.0,5.0,3140.495867768595,PALERMO
127,162000.0,46.0,1.0,3521.7391304347825,PALERMO
134,225000.0,73.0,2.0,3082.1917808219177,PALERMO
135,230000.0,76.0,2.0,3026.315789473684,PALERMO
136,249000.0,94.0,3.0,2648.9361702127662,PALERMO
137,270000.0,185.0,3.0,1459.4594594594596,PALERMO
138,187000.0,54.0,2.0,3462.962962962963,PALERMO
139,110000.0,49.0,2.0,2244.8979591836733,PALERMO
143,220000.0,90.0,4.0,2444.444444444445,PALERMO
144,120000.0,43.0,1.0,2790.697674418605,PALERMO
147,490000.0,211.0,4.0,2322.2748815165883,PALERMO
148,290000.0,82.0,2.0,3536.5853658536585,PALERMO
150,219000.0,83.0,3.0,2638.5542168674697,PALERMO
153,140000.0,39.0,1.0,3589.7435897435903,PALERMO
155,280000.0,56.0,2.0,5000.0,PALERMO
156,580000.0,114.0,4.0,5087.719298245615,PALERMO
157,185000.0,53.0,2.0,3490.566037735849,PALERMO
158,295000.0,90.0,3.0,3277.777777777778,PALERMO
159,485000.0,214.0,7.0,2266.355140186916,PALERMO
165,190000.0,50.0,2.0,3800.0,PALERMO
167,240000.0,52.0,2.0,4615.384615384615,PALERMO
171,295000.0,65.0,2.0,4538.461538461538,PALERMO
173,228000.0,56.0,2.0,4071.428571428572,PALERMO
174,250000.0,96.0,2.0,2604.1666666666665,PALERMO
176,268000.0,82.0,3.0,3268.292682926829,PALERMO
177,268000.0,84.0,3.0,3190.476190476191,PALERMO
180,312000.0,98.0,4.0,3183.673469387755,PALERMO
181,312000.0,98.0,4.0,3183.673469387755,PALERMO
182,125000.0,57.0,3.0,2192.9824561403507,PALERMO
184,484881.0,104.0,3.0,4662.317307692308,PALERMO
185,496410.0,104.0,3.0,4773.173076923077,PALERMO
188,222000.0,67.0,2.0,3313.4328358208954,PALERMO
192,300000.0,90.0,4.0,3333.333333333333,PALERMO
193,153000.0,46.0,1.0,3326.086956521739,PALERMO
197,180000.0,62.0,3.0,2903.225806451613,PALERMO
199,200000.0,65.0,2.0,3076.9230769230767,PALERMO
202,430000.0,109.0,4.0,3944.954128440367,PALERMO
204,439000.0,67.0,1.0,6552.238805970149,PALERMO
205,121290.0,40.0,1.0,3032.25,PALERMO
207,229900.0,96.0,3.0,2394.7916666666665,PALERMO
208,200000.0,69.0,3.0,2898.550724637681,PALERMO
212,355000.0,120.0,2.0,2958.333333333333,PALERMO
213,330000.0,55.0,2.0,6000.0,PALERMO
214,285000.0,82.0,4.0,3475.609756097561,PALERMO
217,580000.0,78.0,3.0,7435.8974358974365,PALERMO
219,339000.0,123.0,3.0,2756.0975609756097,PALERMO
222,387000.0,103.0,3.0,3757.2815533980574,PALERMO
223,122000.0,40.0,1.0,3050.0,PALERMO
229,370000.0,177.0,5.0,2090.3954802259886,PALERMO
230,432800.0,88.0,3.0,4918.181818181818,PALERMO
231,388959.0,84.0,3.0,4630.464285714285,PALERMO
234,209676.0,59.0,2.0,3553.830508474576,PALERMO
235,324339.0,89.0,3.0,3644.258426966292,PALERMO
236,339833.0,95.0,2.0,3577.18947368421,PALERMO
237,225852.0,61.0,2.0,3702.491803278689,PALERMO
238,210656.0,54.0,2.0,3901.037037037037,PALERMO
239,370000.0,70.0,3.0,5285.714285714285,PALERMO
240,445000.0,144.0,5.0,3090.277777777778,PALERMO
243,344000.0,111.0,4.0,3099.099099099099,PALERMO
245,270900.0,59.0,2.0,4591.525423728815,PALERMO
246,275000.0,90.0,5.0,3055.555555555556,PALERMO
247,445000.0,145.0,5.0,3068.9655172413795,PALERMO
248,185000.0,49.0,2.0,3775.510204081633,PALERMO
250,153000.0,56.0,2.0,2732.142857142857,PALERMO
251,258000.0,87.0,3.0,2965.5172413793102,PALERMO
254,150000.0,37.0,1.0,4054.054054054054,PALERMO
256,175979.0,82.0,1.0,2146.0853658536585,PALERMO
262,265000.0,80.0,2.0,3312.5,PALERMO
264,420000.0,163.0,2.0,2576.687116564417,PALERMO
265,159999.0,54.0,2.0,2962.944444444445,PALERMO
266,159999.0,45.0,2.0,3555.5333333333333,PALERMO
267,159999.0,56.0,2.0,2857.125,PALERMO
268,210999.0,48.0,2.0,4395.8125,PALERMO
269,164999.0,47.0,2.0,3510.617021276596,PALERMO
270,224999.0,65.0,3.0,3461.5230769230766,PALERMO
271,234999.0,68.0,3.0,3455.8676470588234,PALERMO
272,261999.0,90.0,3.0,2911.1,PALERMO
273,176999.0,60.0,2.0,2949.983333333333,PALERMO
274,156999.0,52.0,2.0,3019.2115384615386,PALERMO
277,164999.0,51.0,2.0,3235.2745098039222,PALERMO
278,171999.0,60.0,2.0,2866.65,PALERMO
279,164999.0,53.0,2.0,3113.1886792452838,PALERMO
280,155999.0,51.0,2.0,3058.803921568628,PALERMO
281,234999.0,72.0,2.0,3263.875,PALERMO
283,259999.0,72.0,3.0,3611.097222222222,PALERMO
284,234999.0,75.0,2.0,3133.32,PALERMO
285,349000.0,141.0,4.0,2475.177304964539,PALERMO
288,315000.0,92.0,2.0,3423.913043478261,PALERMO
296,525000.0,152.0,4.0,3453.947368421052,PALERMO
298,255000.0,69.0,2.0,3695.652173913044,PALERMO
303,340000.0,97.0,4.0,3505.1546391752577,PALERMO
305,165000.0,44.0,1.0,3750.0,PALERMO
307,490000.0,166.0,5.0,2951.807228915662,PALERMO
310,255000.0,78.0,3.0,3269.230769230769,PALERMO
312,385000.0,132.0,5.0,2916.666666666666,PALERMO
